iucn_sid,sens,stressor,code,score_num
40773,FALSE,direct_human,1.3,NA
40802,FALSE,direct_human,1.1,NA
40802,FALSE,direct_human,1.2,NA
40802,FALSE,direct_human,1.3,NA
40802,FALSE,nutrient,9.1.1,NA
40802,FALSE,nutrient,9.1.2,NA
40802,FALSE,organic,9.1.2,NA
40802,FALSE,nutrient,9.3.1,NA
41005,FALSE,direct_human,1.1,NA
41005,FALSE,direct_human,1.2,NA
41005,FALSE,direct_human,1.3,NA
41005,FALSE,nutrient,9.1.1,NA
41005,FALSE,nutrient,9.1.2,NA
41005,FALSE,organic,9.1.2,NA
41005,FALSE,nutrient,9.3.1,NA
41006,FALSE,direct_human,1.1,NA
41006,FALSE,direct_human,1.2,NA
41006,FALSE,direct_human,1.3,NA
41006,FALSE,nutrient,9.1.1,NA
41006,FALSE,nutrient,9.3.1,NA
41007,FALSE,nutrient,9.1.1,NA
41007,FALSE,organic,9.2.1,NA
41007,FALSE,organic,9.2.2,NA
41008,TRUE,direct_human,1.1,3
41008,TRUE,direct_human,1.2,3
41008,TRUE,direct_human,1.3,3
41664,TRUE,direct_human,6.1,3
41664,TRUE,organic,9.2.1,3
41665,TRUE,organic,9.3.3,4
41671,TRUE,organic,9.2.1,3
41672,TRUE,direct_human,6.1,3
41672,TRUE,organic,9.2.1,3
41673,TRUE,direct_human,1.2,5
41673,FALSE,nutrient,2.4.3,NA
41673,TRUE,nutrient,9.1.1,5
41673,TRUE,nutrient,9.1.2,5
41673,TRUE,organic,9.1.2,5
41673,TRUE,organic,9.2.1,5
41673,TRUE,organic,9.3.3,5
41677,TRUE,direct_human,1.2,3
41714,TRUE,direct_human,1.1,3
41714,TRUE,direct_human,1.2,3
41714,TRUE,direct_human,6.1,3
41754,TRUE,direct_human,1.2,6
41754,FALSE,direct_human,6.1,NA
41754,FALSE,nutrient,9.1.1,NA
41754,FALSE,nutrient,9.1.2,NA
41754,FALSE,organic,9.1.2,NA
41754,FALSE,organic,9.3.3,NA
41761,TRUE,organic,9.2.1,3
41762,TRUE,organic,9.3.3,3
41797,TRUE,direct_human,1.1,3
