iucn_sid,gear,count
11146,gillnet,7
11146,longline,1
11146,midtrawl,2
11146,poleline,0
11146,seine,1
11146,trap,0
11150,btmtrawl,0
11150,dredge,0
11150,gillnet,0
11150,longline,2
11150,midtrawl,0
11150,poleline,0
11150,seine,0
11150,trap,0
11200,btmtrawl,1
11200,dredge,0
11200,gillnet,3
11200,longline,4
11200,midtrawl,0
11200,poleline,0
11200,seine,2
11200,trap,0
11533,btmtrawl,9
11533,dredge,0
11533,gillnet,4
11533,longline,4
11533,midtrawl,1
11533,poleline,0
11533,seine,0
11533,trap,1
11534,btmtrawl,9
11534,dredge,0
11534,gillnet,4
11534,longline,4
11534,midtrawl,0
11534,poleline,1
11534,seine,2
11534,trap,0
11696,btmtrawl,0
11696,dredge,0
11696,gillnet,0
11696,longline,0
11696,midtrawl,0
11696,poleline,0
11696,seine,0
11696,trap,0
11987,btmtrawl,12
11987,dredge,3
11987,gillnet,0
11987,longline,0
11987,midtrawl,0
11987,poleline,0
11987,seine,0
11987,trap,3
12125,btmtrawl,0
12125,dredge,0
12125,gillnet,13
12125,longline,0
12125,midtrawl,0
12125,poleline,0
12125,seine,1
12125,trap,0
12126,btmtrawl,0
12126,dredge,0
12126,gillnet,2
12126,longline,0
12126,midtrawl,0
12126,poleline,0
12126,seine,0
12126,trap,0
12137,btmtrawl,0
12137,dredge,0
12137,gillnet,8
12137,longline,0
12137,midtrawl,0
12137,poleline,3
12137,seine,16
12137,trap,0
12246,btmtrawl,0
12246,dredge,0
12246,gillnet,0
12246,longline,0
12246,midtrawl,0
12246,poleline,0
12246,seine,0
12246,trap,1
12302,btmtrawl,0
12302,dredge,0
12302,gillnet,0
12302,longline,0
12302,midtrawl,0
12302,poleline,0
12302,seine,0
12302,trap,4
12303,btmtrawl,2
12303,dredge,0
12303,gillnet,0
12303,longline,0
12303,midtrawl,2
12303,poleline,0
12303,seine,0
12303,trap,2
12305,btmtrawl,0
12305,dredge,0
12305,gillnet,0
12305,longline,0
12305,midtrawl,0
12305,poleline,0
12305,seine,0
12305,trap,0
12416,btmtrawl,2
12416,dredge,0
12416,gillnet,2
12416,longline,1
12416,midtrawl,0
12416,poleline,4
12416,seine,1
12416,trap,3
12417,btmtrawl,0
12417,dredge,0
12417,gillnet,0
12417,longline,0
12417,midtrawl,0
12417,poleline,0
12417,seine,0
12417,trap,0
12419,btmtrawl,0
12419,dredge,0
12419,gillnet,1
12419,longline,0
12419,midtrawl,0
12419,poleline,0
12419,seine,0
12419,trap,2
12421,btmtrawl,0
12421,dredge,0
12421,gillnet,0
12421,longline,0
12421,midtrawl,0
12421,poleline,0
12421,seine,0
12421,trap,1
12427,btmtrawl,0
12427,dredge,0
12427,gillnet,0
12427,longline,0
12427,midtrawl,0
12427,poleline,0
12427,seine,0
12427,trap,1
12695,btmtrawl,0
12695,dredge,0
12695,gillnet,0
12695,longline,0
12695,midtrawl,0
12695,poleline,0
12695,seine,0
12695,trap,5
13006,btmtrawl,11
13006,dredge,0
13006,gillnet,0
13006,longline,0
13006,midtrawl,11
13006,poleline,0
13006,seine,0
13006,trap,1
13241,btmtrawl,1
13241,dredge,0
13241,gillnet,2
13241,longline,0
13241,midtrawl,1
13241,poleline,0
13241,seine,0
13241,trap,0
13242,btmtrawl,0
13242,dredge,0
13242,gillnet,1
13242,longline,1
13242,midtrawl,0
13242,poleline,0
13242,seine,0
13242,trap,0
13243,btmtrawl,0
13243,dredge,0
13243,gillnet,1
13243,longline,0
13243,midtrawl,0
13243,poleline,0
13243,seine,0
13243,trap,0
13244,btmtrawl,0
13244,dredge,0
13244,gillnet,0
13244,longline,0
