range_km2,iucn_sid
142255.17049263624,133444
NA,133445
NA,133446
NA,133447
NA,133448
391017.2445426864,133449
NA,133450
NA,133451
NA,133452
NA,133453
5030.797700434349,133454
11352.260037360418,133455
NA,133456
899301.5887928316,133457
NA,133458
NA,133459
NA,133460
NA,133461
8084.555649482915,133462
NA,133463
NA,133464
133116.6011663714,133466
NA,133467
NA,133468
NA,133469
NA,133470
NA,133471
NA,133472
NA,133473
NA,133474
NA,133475
NA,133476
NA,133477
NA,133478
NA,133479
NA,133480
NA,133481
NA,133482
NA,133483
NA,133484
NA,133485
NA,133486
11465.782628381454,133487
NA,133488
NA,133489
NA,133490
NA,133491
NA,133492
NA,133493
NA,133494
NA,133495
NA,133496
NA,133497
NA,133498
NA,133499
NA,133500
NA,133501
NA,133502
NA,133503
959320.9875646514,133504
573493.4723786028,133505
243444.85011897262,133506
23093.989910986063,133507
NA,133508
NA,133509
NA,133510
NA,133511
NA,133512
NA,133513
11465.782628381454,133514
NA,133515
NA,133516
43979.52865130327,133517
NA,133518
891588.1647274642,133519
NA,133520
965388.3339283488,133521
954659.5749490275,133522
NA,133523
NA,133524
NA,133525
NA,133526
NA,133527
NA,133528
NA,133529
NA,133530
NA,133531
NA,133532
88344.16080716037,133533
NA,133534
NA,133535
NA,133536
NA,133537
NA,133538
NA,133539
NA,133540
NA,133541
NA,133542
31869.28691732756,133543
3162.914303615854,133544
NA,133545
NA,133546
NA,133547
NA,133548
NA,133549
NA,133550
NA,133551
NA,133552
NA,133553
NA,133554
NA,133555
NA,133556
NA,133557
NA,133558
NA,133559
NA,133560
118202.35121854745,133561
229231.82056713628,133562
NA,133563
898106.9817220333,133564
NA,133565
NA,133566
455188.9506381723,133567
NA,133568
NA,133569
NA,133570
NA,133571
NA,133572
NA,133573
4123.490149491275,133574
1074059.1529583992,133575
NA,133576
NA,133577
NA,133578
12011.564368940508,133579
NA,133580
NA,133581
NA,133582
NA,133583
910220.716423129,133584
NA,133585
NA,133586
NA,133587
NA,133588
NA,133589
NA,133590
895520.4129385388,133591
NA,133592
NA,133593
NA,133594
NA,133595
NA,133596
365592.5482900365,133597
NA,133598
NA,133599
NA,133600
NA,133601
NA,133602
NA,133603
300492.5765940842,133604
914484.79993987,133605
NA,133606
NA,133607
229231.82056713628,133608
NA,133609
14721.261504591506,133610
767962.053001161,133611
401558.2546375057,133612
NA,133613
NA,133614
NA,133615
NA,133616
NA,133617
986385.6487312537,133618
NA,133619
NA,133620
NA,133621
NA,133622
NA,133623
NA,133624
33426.29304107707,133625
NA,133626
NA,133627
NA,133628
NA,133629
NA,133630
NA,133631
6925.751871119779,133632
NA,133633
NA,133634
NA,133635
NA,133636
NA,133637
NA,133638
NA,133639
NA,133640
NA,133641
NA,133642
229231.82056713628,133643
NA,133644
174978.49664078242,133645
NA,133646
NA,133647
NA,133648
NA,133649
NA,133650
NA,133651
NA,133652
NA,133653
NA,133654
448435.2292855413,133655
NA,133656
891588.1647274642,133657
NA,133658
339017.7808313217,133659
NA,133660
NA,133661
NA,133662
NA,133663
110831.24143420794,133664
NA,133665
NA,133666
53914.50265417028,133667
NA,133668
NA,133669
NA,133670
NA,133671
NA,133672
NA,133673
NA,133674
NA,133675
438588.45358023926,133676
229231.82056713628,133677
NA,133678
NA,133679
NA,133680
384471.35668647155,133681
NA,133682
NA,133683
77631.12032630769,133684
NA,133685
906884.025237127,133686
NA,133687
NA,133688
NA,133689
NA,133690
113655.33443178832,133691
NA,133692
NA,133693
NA,133694
NA,133695
NA,133696
NA,133697
NA,133698
109346.71514734294,133699
NA,133700
49250.47028014184,133701
NA,133702
11465.782628381454,133703
12773.039042122742,134554100
1216030.5167762758,134554171
1104195.0368929205,134820643
125703.5753226431,134822416
NA,135381188
NA,135644
10368627.741726631,13581
71065380.94969976,13583
NA,136315
277541.79972845264,13653
284716.42807646043,13654
14742267.554800443,136623
3361256.615791379,13704
104701.0210648269,14048
298129.55992474343,14049
NA,14050
22718.492069160988,14051
NA,14052
289338.5443978901,14053
NA,14054
362847.9211023527,14134315
NA,14134429
NA,14134431
16906.13493779162,141744346
1403.313983371019,141748720
99007.4260279044,143613507
107892.75262901865,143620010
418314.19033709035,14549
6502633.053869882,15106
20378138.96330642,15269
144.08637215779365,15307967
8180.613227772432,15307969
183.38266005393814,15307971
85270.31809248649,15307973
78.59256949426292,15307975
4938.233111307832,15307977
47.15554106675515,15307979
105.66334336119763,15307981
NA,153534
NA,153535
NA,153538
NA,15419
353244315.1795707,15421
NA,154617
NA,154623
NA,154626
NA,154629
66396.74916523175,154630
NA,154643
168093.78754111874,154667
NA,154676
NA,154677
NA,154680
NA,154684
NA,154697
169991.36145603817,154700
64831.88376941756,154701
31334.857443506968,154706
NA,154708
49699.32117150303,154713
1088.0704588904712,154717
NA,154718
19413.23786828751,154719
198747.50936134867,154720
NA,154723
206290.64952562036,154732
NA,154734
NA,154743
70524.60557558163,154753
NA,154759
NA,154760
1749.9945520241401,154763
NA,154774
274538.6903726141,154775
NA,154780
162895.3257908891,154788
NA,154792
NA,154793
45594.16928675754,154796
38557.51456491447,154797
46944.21497519621,154809
1474.9205556452068,154811
NA,154812
223811.55300504778,154814
21667.971392563617,154817
300377.30745179945,154818
1773290.2570720396,154825
NA,154829
63495.810106909164,154831
92191.70373738681,154834
47193.96470960928,154837
94934.58438502527,154841
NA,154849
NA,154853
NA,154855
561936.8715059015,154856
68626.15840943517,154868
NA,154878
257964.39072316926,154888
333006.32246978965,154891
30601.326796993188,154904
NA,154915
505783.35390090966,154920
136094.38624922256,154924
8284.530078126636,154926
8789.269010228689,154927
5140.82728890908,154938
43794.39946045418,154943
3304604.4718703814,154946
NA,154947
NA,154954
NA,154957
NA,154958
NA,154960
359366.2703291795,154968
NA,154971
453469.5199365632,154972
NA,154975
4538.28425402039,154986
1345489.0703269495,154989
NA,155006
NA,155013
31334.857443506968,155017
8815.466531294102,155019
NA,155020
NA,155029
21112829.287966795,155030
482620.3772595028,155032
18663.115493333862,155033
NA,155034
NA,155059
52563.583716079105,155061
NA,155073
NA,155076
NA,155079
NA,155083
NA,155086
13286541.926689431,155096
NA,155098
NA,155099
3709.5692662735523,155103
NA,155108
33958.10275176958,155109
NA,155116
NA,155120
NA,155121
4802286.306487257,155123
528.3167168059881,155140
NA,155146
21667.971392563617,155156
NA,155165
981548.7126947728,155167
41597.30050692683,155174
50763.8138787542,155180
NA,155181
NA,155186
NA,155193
174825.67770911928,155194
NA,155212
NA,155220
884979.4027016204,15522003
NA,15522042
NA,155221
NA,155235
NA,155237
NA,155238
NA,155240
37518.34615584281,155248
816323.5537882547,155250
518081.34452273324,155252
548426.8088495546,155253
NA,155255
272310.154349722,155263
NA,155270
11222855.618576877,155276
NA,155280
NA,155285
NA,155290
1625.1196911156314,155292
927779.1695358618,155294
NA,155304
657711.5233424222,155308
NA,155311
125666.02557390666,155313
485599.03575418063,155314
NA,155321
61674.20899520689,155327
17306.9570510296,157011948
1261655.2498486969,158616
258204.5346421264,158617
NA,158632
NA,15873
3559.370155995232,159099200
181587.25845111575,159099258
105371.67767810325,159099284
130048.87114888089,161317
280112.6499977334,161318
116893.34827558552,161319
NA,161320
2214942.074298695,161321
4754.850451253894,161322
169366.11390656664,161324
1438277.2042654532,161325
602779.6833181689,161326
45733.01616414929,161327
2210229.1399354665,161328
626266.6360530087,161329
238010.61056027902,161330
253492.47348367673,161331
333828.05147842324,161333
NA,161334
NA,161335
1602649.1971730918,161336
311371.5345745509,161337
13533.64046565247,161338
1353470.5824517007,161339
8136.077438812218,161340
21872.31207576791,161341
NA,161342
16030.26440897803,161343
259041.98212639836,161344
119185.63155932439,161345
115083.97268578499,161346
89602.51517029559,161347
16184.82980215804,161348
471124.0307478385,161349
3018113.5982077373,161350
NA,161351
5639095.450081785,161352
611087.7911747014,161354
1116052.9090789708,161355
48076.821229344925,161356
1677077.23353503,161357
817861.3484021326,161358
86641.32180407552,161359
355221.82211560063,161360
1336578.4195185835,161361
24396.006802407443,161363
737599.9967092318,161364
656811.2016005457,161366
253069.8200976359,161367
384831.13604773796,161368
630633.7631704514,161370
667926.8106561531,161371
212828.67802986433,161372
630255.6457099592,161373
31170.686291553302,161374
3680360.785875335,161375
NA,161376
336012.0516391405,161377
NA,161378
583283.4866413748,161379
10341.908888864662,161380
2727323.7110259165,161381
896962.1497790852,161382
218764.16354212488,161383
370588.41585656366,161384
19961.639395592247,161386
30642.369574747314,161387
5230328.510456459,161388
32121.65638180408,161390
160472.05477468178,161391
48881.958435536835,161392
92994.22118517416,161393
6588.677080134392,161394
1455240.1005298519,161395
37307.89272507095,161396
1817629.5650391453,161397
NA,161398
3771426.869377442,161399
1640963.0746063062,161400
633516.3640159869,161402
5970291.523820172,161403
1433091.841236,161404
58045.85203478908,161405
NA,161406
3212006.70649724,161407
NA,161408
NA,161409
233192.88606319166,161410
NA,161411
20761.537100720092,161412
45012.58427187019,161413
1215544.1160189759,161414
32544.309755248873,161416
105.66334336119763,161417
296409.2558860967,161418
200126.3723261083,161419
285595.791597586,161420
17115.715125208997,161421
129331.9322741059,161422
NA,161423
139678.20741438214,161424
2064066.1722769367,161425
NA,161426
194694.75252818107,161427
782.4327026306177,161428
252.36947392355856,161429
1979691.809474756,161430
NA,161431
1880114.1506766598,161432
2216885.930499715,161433
698477.4889449597,161434
2223169.84310178,161435
1320177.0236034282,161436
10546.249590963034,161437
1329768.8099317441,161438
1484006.7275408143,161439
134211.6575831193,161440
237747.76208895084,161441
1212465.0337685987,161442
5016577.679563854,161443
493025.1601233482,161444
1526109.6401992848,161445
12573.937859982518,161446
NA,161447
104503.66631743692,161448
560517.8390148116,161449
39034.30949868918,161450
179206.77684304523,161451
4055588.7831691895,161452
NA,161453
2126047.765452329,161454
359212.5781494383,161455
184985.950437235,161456
NA,161457
863989.9472138822,161458
3307.8739222771437,161459
20710.015298794737,161460
2168786.404709339,161461
