iucn_sid,stressor,count
133379,oa,4
133379,slr,0
133379,sst,6
133380,oa,4
133380,slr,0
133380,sst,6
133381,oa,4
133381,slr,0
133381,sst,2
133382,oa,4
133382,slr,0
133382,sst,6
133383,oa,4
133383,slr,0
133383,sst,6
133384,oa,4
133384,slr,0
133384,sst,6
133385,oa,4
133385,slr,0
133385,sst,6
133386,oa,4
133386,slr,0
133386,sst,6
133387,oa,4
133387,slr,0
133387,sst,6
133388,oa,4
133388,slr,0
133388,sst,6
133389,oa,4
133389,slr,0
133389,sst,6
133390,oa,4
133390,slr,0
133390,sst,6
133391,oa,2
133391,slr,0
133391,sst,2
133392,oa,4
133392,slr,0
133392,sst,6
133393,oa,4
133393,slr,0
133393,sst,6
133394,oa,4
133394,slr,0
133394,sst,6
133395,oa,4
133395,slr,0
133395,sst,6
133396,oa,4
133396,slr,0
133396,sst,6
133397,oa,4
133397,slr,0
133397,sst,6
133398,oa,4
133398,slr,0
133398,sst,7
133399,oa,4
133399,slr,0
133399,sst,6
133400,oa,4
133400,slr,0
133400,sst,6
133401,oa,4
133401,slr,0
133401,sst,6
133402,oa,4
133402,slr,0
133402,sst,6
133403,oa,4
133403,slr,0
133403,sst,6
133404,oa,4
133404,slr,0
133404,sst,6
133405,oa,4
133405,slr,0
133405,sst,6
133406,oa,4
133406,slr,0
133406,sst,6
133407,oa,4
133407,slr,0
133407,sst,6
133408,oa,4
133408,slr,0
133408,sst,6
133409,oa,4
133409,slr,0
133409,sst,6
133410,oa,4
133410,slr,0
133410,sst,6
133411,oa,4
133411,slr,0
133411,sst,6
133412,oa,4
133412,slr,0
133412,sst,6
133413,oa,4
133413,slr,0
133413,sst,6
133414,oa,4
