iucn_sid,assess_gp,kingdom,phylum,class,order,family,rank
161449,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,Chondrichthyes
161458,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,Chondrichthyes
161459,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Chondrichthyes
161460,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Pentanchidae,Chondrichthyes
161462,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Arhynchobatidae,Chondrichthyes
161476,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rhinopristiformes,Rhinobatidae,Chondrichthyes
161494,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Anacanthobatidae,Chondrichthyes
161495,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Dasyatidae,Chondrichthyes
161496,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Chondrichthyes
161499,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Proscylliidae,Chondrichthyes
161505,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Dasyatidae,Chondrichthyes
161506,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Hemigaleidae,Chondrichthyes
161509,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Pentanchidae,Chondrichthyes
161512,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Chondrichthyes
161513,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Dasyatidae,Chondrichthyes
161525,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Squatiniformes,Squatinidae,Chondrichthyes
161526,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Chondrichthyes
161560,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Torpediniformes,Narcinidae,Chondrichthyes
161561,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Arhynchobatidae,Chondrichthyes
161562,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Torpediniformes,Torpedinidae,Chondrichthyes
161563,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Orectolobiformes,Orectolobidae,Chondrichthyes
161564,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Chondrichthyes
161592,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Gurgesiellidae,Chondrichthyes
161593,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Torpediniformes,Narkidae,Chondrichthyes
161595,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Chondrichthyes
161610,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Chondrichthyes
161613,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Torpediniformes,Torpedinidae,Chondrichthyes
161615,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Dasyatidae,Chondrichthyes
161616,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Orectolobiformes,Hemiscylliidae,Chondrichthyes
161619,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Arhynchobatidae,Chondrichthyes
161620,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Dasyatidae,Chondrichthyes
161622,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Chondrichthyes
161623,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Arhynchobatidae,Chondrichthyes
161624,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Torpediniformes,Narcinidae,Chondrichthyes
161625,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Pentanchidae,Chondrichthyes
161629,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Chondrichthyes
161630,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Gymnuridae,Chondrichthyes
161632,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Torpediniformes,Narkidae,Chondrichthyes
