iucn_sid,cat_score,sens,code,stressor,score_num
98841657,0,FALSE,11.5,sst,NA
99167147,0,TRUE,11.3,sst,NA
99167147,0,TRUE,11.3,oa,NA
99167147,0,TRUE,11.5,oa,NA
99167147,0,TRUE,11.5,slr,NA
99167147,0,TRUE,11.5,sst,NA
101730467,NA,FALSE,11.1,sst,NA
101730467,NA,FALSE,11.1,slr,NA
101730467,NA,FALSE,11.1,oa,NA
101730467,NA,FALSE,11.3,sst,NA
101730467,NA,FALSE,11.3,oa,NA
107261083,NA,FALSE,11.1,sst,NA
107261083,NA,FALSE,11.1,slr,NA
107261083,NA,FALSE,11.1,oa,NA
107261083,NA,FALSE,11.3,sst,NA
107261083,NA,FALSE,11.3,oa,NA
117636167,0.8,FALSE,11.1,sst,NA
117636167,0.8,FALSE,11.1,slr,NA
117636167,0.8,FALSE,11.1,oa,NA
120868935,0.6,FALSE,11.1,sst,NA
120868935,0.6,FALSE,11.1,slr,NA
120868935,0.6,FALSE,11.1,oa,NA
120942051,NA,FALSE,11.1,sst,NA
120942051,NA,FALSE,11.1,slr,NA
120942051,NA,FALSE,11.1,oa,NA
122898736,0,TRUE,11.5,oa,3
122898736,0,TRUE,11.5,slr,3
122898736,0,TRUE,11.5,sst,3
122903281,0,TRUE,11.1,sst,3
122903281,0,TRUE,11.1,slr,3
122903281,0,TRUE,11.1,oa,3
122904064,0.6,TRUE,11.1,sst,3
122904064,0.6,TRUE,11.1,slr,3
122904064,0.6,TRUE,11.1,oa,3
122913501,0,TRUE,11.1,sst,3
122913501,0,TRUE,11.1,slr,3
122913501,0,TRUE,11.1,oa,3
123095978,0.8,FALSE,11.1,sst,NA
123095978,0.8,FALSE,11.1,slr,NA
123095978,0.8,FALSE,11.1,oa,NA
123387810,0,TRUE,11.1,sst,3
123387810,0,TRUE,11.1,slr,3
123387810,0,TRUE,11.1,oa,3
123423098,0.8,FALSE,11.3,sst,NA
123423098,0.8,FALSE,11.3,oa,NA
123423510,0.8,FALSE,11.3,sst,NA
123423510,0.8,FALSE,11.3,oa,NA
123434776,0,FALSE,11.1,sst,NA
123434776,0,FALSE,11.1,slr,NA
123434776,0,FALSE,11.1,oa,NA
135447285,0,FALSE,11.3,sst,NA
135447285,0,FALSE,11.3,oa,NA
141483795,NA,FALSE,11.1,sst,NA
141483795,NA,FALSE,11.1,slr,NA
141483795,NA,FALSE,11.1,oa,NA
141483795,NA,FALSE,11.5,oa,NA
141483795,NA,FALSE,11.5,slr,NA
141483795,NA,FALSE,11.5,sst,NA
141483816,0,FALSE,11.1,sst,NA
141483816,0,FALSE,11.1,slr,NA
141483816,0,FALSE,11.1,oa,NA
141483916,NA,FALSE,11.1,sst,NA
141483916,NA,FALSE,11.1,slr,NA
141483916,NA,FALSE,11.1,oa,NA
141484010,NA,FALSE,11.1,sst,NA
141484010,NA,FALSE,11.1,slr,NA
141484010,NA,FALSE,11.1,oa,NA
160075998,0.8,TRUE,11.5,oa,NA
160075998,0.8,TRUE,11.5,slr,NA
160075998,0.8,TRUE,11.5,sst,NA
