stressor,impact_km2,incr2_km2,incr3_km2,decr2_km2,decr3_km2,impact_2plus_km2,impact_3plus_km2,range_km2,iucn_sid
shipping,1637564.3828086357,1194469.9552965425,323523.69240098004,28931.671307470304,5663.904510949025,NA,NA,2407265.078068709,133656
sst,2293487.488550457,2229901.733609677,2170079.6894679465,0,0,NA,NA,2407265.078068709,133656
cum_all,2406111.513800857,2319472.8116441835,2131933.4759243215,105.66334336119763,105.66334336119763,2382915.353551418,2087949.5811964753,2407265.078068709,133656
oa,2261151.0124121727,2028521.3731499987,177369.4572303157,0,0,NA,NA,2407265.078068709,133656
sst,2293487.488550457,2229901.733609677,2170079.6894679465,0,0,NA,NA,2407265.078068709,133656
cum_climate,2399669.54285837,2364759.5967608914,2184941.544344905,0,0,2154968.9581042593,0,2407265.078068709,133656
art_fish,1608122.7331901218,894397.4124118704,3036.2929371043,12180.975025107256,75.09956458619926,NA,NA,2407265.078068709,133656
cum_fishing,1608122.7331901218,894397.4124118704,3036.2929371043,12180.975025107256,75.09956458619926,0,0,2407265.078068709,133656
direct_human,365197.83923916897,44286.912897913135,0,6545.014550273727,0,NA,NA,2407265.078068709,133656
cum_land-based,365197.83923916897,44286.912897913135,0,6545.014550273727,0,0,0,2407265.078068709,133656
shipping,1637564.3828086357,1194469.9552965425,323523.69240098004,28931.671307470304,5663.904510949025,NA,NA,2407265.078068709,133656
cum_ocean,1637564.3828086357,1194469.9552965425,323523.69240098004,28931.671307470304,5663.904510949025,0,0,2407265.078068709,133656
art_fish,2626339.2457037256,1100970.121928728,31321.758689272287,322217.3092501762,26996.547611438647,NA,NA,5009324.4590795385,133660
direct_human,583607.4633435514,55579.79187761901,0,8773.550532228584,0,NA,NA,5009324.4590795385,133660
oa,4742549.841398369,3957146.350932559,177369.4572303157,0,0,NA,NA,5009324.4590795385,133660
shipping,3520307.0183284734,2501496.69535533,522714.81314947683,176862.098506154,32599.32459672143,NA,NA,5009324.4590795385,133660
sst,4644818.234713857,4363041.1687245155,4234670.685471148,11424.739834095011,9806.606168540573,NA,NA,5009324.4590795385,133660
cum_all,4983389.784420095,4258621.334305524,3814403.9062587908,25940.78741714648,3853.655651027398,NA,NA,5009324.4590795385,133660
oa,4742549.841398369,3957146.350932559,177369.4572303157,0,0,NA,NA,5009324.4590795385,133660
sst,4644818.234713857,4363041.1687245155,4234670.685471148,11424.739834095011,9806.606168540573,NA,NA,5009324.4590795385,133660
cum_climate,4948843.983902131,4822427.835937329,4249532.540348107,1749.1212929245917,1749.1212929245917,NA,0,5009324.4590795385,133660
art_fish,2626339.2457037256,1100970.121928728,31321.758689272287,322217.3092501762,26996.547611438647,NA,NA,5009324.4590795385,133660
cum_fishing,2626339.2457037256,1100970.121928728,31321.758689272287,322217.3092501762,26996.547611438647,0,0,5009324.4590795385,133660
direct_human,583607.4633435514,55579.79187761901,0,8773.550532228584,0,NA,NA,5009324.4590795385,133660
cum_land-based,583607.4633435514,55579.79187761901,0,8773.550532228584,0,0,0,5009324.4590795385,133660
shipping,3520307.0183284734,2501496.69535533,522714.81314947683,176862.098506154,32599.32459672143,NA,NA,5009324.4590795385,133660
cum_ocean,3520307.0183284734,2501496.69535533,522714.81314947683,176862.098506154,32599.32459672143,0,0,5009324.4590795385,133660
art_fish,2318541.053221058,1097285.8769370164,3670.272997271486,204401.80817010786,23080.017903556232,NA,NA,4954514.87439731,133661
direct_human,518700.4799050397,55787.62556986445,0,8773.550532228584,0,NA,NA,4954514.87439731,133661
oa,3649284.411164837,2881711.828209154,177369.4572303157,0,0,NA,NA,4954514.87439731,133661
shipping,3214436.963540091,2311722.7108910866,403574.5906350632,144667.08908426084,36622.39088187249,NA,NA,4954514.87439731,133661
sst,3984781.2447851175,3823907.4945849585,3606910.790548152,4181.997948636705,3777.6828399377027,NA,NA,4954514.87439731,133661
cum_all,4759055.154189858,4098858.3590939925,3330354.8907846543,46218.54358057376,9031.159475726083,NA,NA,4954514.87439731,133661
oa,3649284.411164837,2881711.828209154,177369.4572303157,0,0,NA,NA,4954514.87439731,133661
sst,3984781.2447851175,3823907.4945849585,3606910.790548152,4181.997948636705,3777.6828399377027,NA,NA,4954514.87439731,133661
cum_climate,4273200.256160153,4143990.5789545025,3621772.64542511,1749.1212929245917,1749.1212929245917,3360865.3997898013,0,4954514.87439731,133661
art_fish,2318541.053221058,1097285.8769370164,3670.272997271486,204401.80817010786,23080.017903556232,NA,NA,4954514.87439731,133661
cum_fishing,2318541.053221058,1097285.8769370164,3670.272997271486,204401.80817010786,23080.017903556232,0,0,4954514.87439731,133661
direct_human,518700.4799050397,55787.62556986445,0,8773.550532228584,0,NA,NA,4954514.87439731,133661
cum_land-based,518700.4799050397,55787.62556986445,0,8773.550532228584,0,0,0,4954514.87439731,133661
shipping,3214436.963540091,2311722.7108910866,403574.5906350632,144667.08908426084,36622.39088187249,NA,NA,4954514.87439731,133661
cum_ocean,3214436.963540091,2311722.7108910866,403574.5906350632,144667.08908426084,36622.39088187249,0,0,4954514.87439731,133661
art_fish,3360504.7471663845,1348460.742858456,29712.357510795904,380519.89700242784,27582.498874588542,NA,NA,7598304.289971876,133662
direct_human,663757.0389473932,69578.87501109499,210.45343392087284,9250.34545970527,0,NA,NA,7598304.289971876,133662
oa,5155181.789009264,4302255.929155932,177369.4572303157,0,0,NA,NA,7598304.289971876,133662
shipping,5482480.544026806,3817762.428564475,708599.3386427043,355503.8821123487,85903.42494078932,NA,NA,7598304.289971876,133662
sst,6496725.512340793,5644071.2333256155,5342318.555893495,65217.86065115893,54215.77417948716,NA,NA,7598304.289971876,133662
cum_all,7388000.179906101,6076982.683454388,4888249.112531262,113599.4463858319,30205.744187968296,NA,NA,7598304.289971876,133662
oa,5155181.789009264,4302255.929155932,177369.4572303157,0,0,NA,NA,7598304.289971876,133662
sst,6496725.512340793,5644071.2333256155,5342318.555893495,65217.86065115893,54215.77417948716,NA,NA,7598304.289971876,133662
cum_climate,6865606.723067444,6213067.464168121,5357180.4107704535,52785.38940807865,44515.70458821523,NA,0,7598304.289971876,133662
art_fish,3360504.7471663845,1348460.742858456,29712.357510795904,380519.89700242784,27582.498874588542,NA,NA,7598304.289971876,133662
cum_fishing,3360504.7471663845,1348460.742858456,29712.357510795904,380519.89700242784,27582.498874588542,0,0,7598304.289971876,133662
