iucn_sid,taxon,var_priority,priority
132979,reef_building_corals,1.4635162459653142e-7,0.06094442581427078
132980,reef_building_corals,1.4060289504357415e-7,0.06091466643878897
132981,reef_building_corals,2.1531104685980216e-9,0.0708065390126936
132983,reef_building_corals,5.488073914317265e-8,0.06437143058398066
132984,reef_building_corals,1.9127143184713258e-8,0.06820600062214269
132985,reef_building_corals,6.188164121242132e-8,0.0646141073689894
132990,reef_building_corals,3.128266019471649e-8,0.06626487623978372
132991,reef_building_corals,3.165113799528116e-8,0.06586260629802715
132992,reef_building_corals,1.601086996052651e-7,0.06100429118776719
132994,reef_building_corals,2.5855644300589853e-8,0.06984845592974269
132995,reef_building_corals,1.808462186448677e-9,0.06614661806729305
132996,reef_building_corals,0,0.07870731057049367
132997,reef_building_corals,1.8226985363126989e-7,0.061242492627429174
133002,reef_building_corals,1.1219538640558108e-7,0.06551385328445043
133003,reef_building_corals,1.0274743050120931e-8,0.06548412285779458
133006,reef_building_corals,8.63679326060591e-10,0.07301084398071363
133007,reef_building_corals,8.040993196112635e-9,0.0684358410288711
133009,reef_building_corals,1.0709885981294123e-9,0.07959254249602724
133011,reef_building_corals,7.262822211481916e-9,0.06798249942559244
133012,reef_building_corals,7.126593821004962e-10,0.0725434747033907
133014,reef_building_corals,2.5378821026464512e-9,0.06674671248365076
133019,reef_building_corals,7.19141494680716e-9,0.06894785816159672
133020,reef_building_corals,1.4766029561582426e-7,0.06106830808621026
133022,reef_building_corals,1.3282426752330683e-8,0.06731319966872598
133025,reef_building_corals,1.978521549700526e-7,0.061268001341032254
133028,reef_building_corals,1.714377671619161e-7,0.06103275339164628
133031,reef_building_corals,1.7291222982522647e-8,0.06588687158762035
133032,reef_building_corals,4.0505805910138026e-8,0.0663869798623947
133036,reef_building_corals,1.2002512368105895e-7,0.0647371922392064
133038,reef_building_corals,1.7465178068102226e-7,0.061054404969232375
133040,reef_building_corals,2.0745966235052194e-8,0.06508843739426576
133041,reef_building_corals,1.4339298741228235e-7,0.0609278452296143
133043,reef_building_corals,1.8313805567900998e-7,0.061242605845367504
133046,reef_building_corals,3.4290714982194152e-9,0.0671315237784932
133055,reef_building_corals,1.6269643321869586e-7,0.0611403990688161
133057,reef_building_corals,7.162299013277785e-9,0.06893905434622313
133059,reef_building_corals,3.106478069073594e-7,0.06147736766550429
133060,reef_building_corals,2.0360404754758132e-7,0.061301636868604424
133064,reef_building_corals,8.007479144466856e-9,0.0686631479541965
133067,reef_building_corals,8.750068475407301e-9,0.06660197595753722
133069,reef_building_corals,1.674087726008329e-8,0.06520612975395841
