iucn_sid,stressor,sensitive
20731,pel_lb,TRUE
20732,art_fish,TRUE
20732,dem_dest,NA
20732,dem_nondest_hb,NA
20732,dem_nondest_lb,NA
20732,pel_hb,NA
20732,pel_lb,NA
20733,art_fish,FALSE
20733,dem_dest,FALSE
20733,dem_nondest_hb,FALSE
20733,dem_nondest_lb,FALSE
20733,pel_hb,FALSE
20733,pel_lb,FALSE
20738,art_fish,FALSE
20738,dem_dest,NA
20738,dem_nondest_hb,NA
20738,dem_nondest_lb,NA
20738,pel_hb,FALSE
20738,pel_lb,FALSE
21341,art_fish,FALSE
21341,dem_dest,FALSE
21341,dem_nondest_hb,FALSE
21341,dem_nondest_lb,FALSE
21341,pel_hb,FALSE
21341,pel_lb,FALSE
21342,art_fish,FALSE
21342,dem_dest,FALSE
21342,dem_nondest_hb,FALSE
21342,dem_nondest_lb,FALSE
21342,pel_hb,NA
21342,pel_lb,NA
21343,art_fish,FALSE
21343,dem_dest,FALSE
21343,dem_nondest_hb,FALSE
21343,dem_nondest_lb,FALSE
21343,pel_hb,FALSE
21343,pel_lb,FALSE
21856,art_fish,TRUE
21856,dem_dest,NA
21856,dem_nondest_hb,NA
21856,dem_nondest_lb,NA
21856,pel_hb,TRUE
21856,pel_lb,TRUE
21857,art_fish,NA
21857,dem_dest,NA
21857,dem_nondest_hb,NA
21857,dem_nondest_lb,NA
21857,pel_hb,TRUE
21857,pel_lb,TRUE
21858,art_fish,NA
21858,dem_dest,NA
21858,dem_nondest_hb,NA
21858,dem_nondest_lb,NA
21858,pel_hb,TRUE
21858,pel_lb,FALSE
21859,art_fish,NA
21859,dem_dest,NA
21859,dem_nondest_hb,NA
21859,dem_nondest_lb,NA
21859,pel_hb,TRUE
21859,pel_lb,TRUE
21860,art_fish,NA
21860,dem_dest,NA
21860,dem_nondest_hb,NA
21860,dem_nondest_lb,NA
21860,pel_hb,TRUE
21860,pel_lb,TRUE
22103,art_fish,TRUE
22103,dem_dest,FALSE
22103,dem_nondest_hb,TRUE
22103,dem_nondest_lb,FALSE
22103,pel_hb,FALSE
22103,pel_lb,FALSE
22104,art_fish,TRUE
22104,dem_dest,FALSE
22104,dem_nondest_hb,TRUE
22104,dem_nondest_lb,FALSE
22104,pel_hb,TRUE
22104,pel_lb,FALSE
22563,art_fish,TRUE
22563,dem_dest,NA
22563,dem_nondest_hb,NA
22563,dem_nondest_lb,NA
22563,pel_hb,NA
22563,pel_lb,NA
23211,art_fish,NA
23211,dem_dest,NA
23211,dem_nondest_hb,NA
23211,dem_nondest_lb,NA
23211,pel_hb,TRUE
23211,pel_lb,FALSE
39303,art_fish,FALSE
39303,dem_dest,FALSE
39303,dem_nondest_hb,FALSE
39303,dem_nondest_lb,FALSE
39303,pel_hb,NA
39303,pel_lb,NA
39324,art_fish,TRUE
39324,dem_dest,NA
39324,dem_nondest_hb,NA
39324,dem_nondest_lb,NA
39324,pel_hb,NA
39324,pel_lb,NA
39328,art_fish,NA
39328,dem_dest,FALSE
39328,dem_nondest_hb,FALSE
39328,dem_nondest_lb,FALSE
39328,pel_hb,NA
39328,pel_lb,NA
39329,art_fish,FALSE
39329,dem_dest,FALSE
39329,dem_nondest_hb,FALSE
39329,dem_nondest_lb,FALSE
39329,pel_hb,NA
39329,pel_lb,NA
39331,art_fish,FALSE
39331,dem_dest,FALSE
39331,dem_nondest_hb,FALSE
39331,dem_nondest_lb,FALSE
39331,pel_hb,NA
39331,pel_lb,NA
39332,art_fish,FALSE
39332,dem_dest,FALSE
39332,dem_nondest_hb,FALSE
39332,dem_nondest_lb,FALSE
39332,pel_hb,NA
39332,pel_lb,NA
39333,art_fish,FALSE
39333,dem_dest,FALSE
39333,dem_nondest_hb,FALSE
39333,dem_nondest_lb,FALSE
39333,pel_hb,FALSE
39333,pel_lb,FALSE
39334,art_fish,FALSE
39334,dem_dest,FALSE
39334,dem_nondest_hb,FALSE
39334,dem_nondest_lb,FALSE
39334,pel_hb,NA
39334,pel_lb,NA
39335,art_fish,FALSE
39335,dem_dest,NA
39335,dem_nondest_hb,NA
39335,dem_nondest_lb,NA
39335,pel_hb,NA
39335,pel_lb,NA
39336,art_fish,TRUE
39336,dem_dest,NA
39336,dem_nondest_hb,NA
39336,dem_nondest_lb,NA
39336,pel_hb,TRUE
39336,pel_lb,TRUE
39337,art_fish,TRUE
39337,dem_dest,NA
39337,dem_nondest_hb,NA
39337,dem_nondest_lb,NA
39337,pel_hb,TRUE
39337,pel_lb,TRUE
39338,art_fish,FALSE
39338,dem_dest,NA
39338,dem_nondest_hb,NA
39338,dem_nondest_lb,NA
39338,pel_hb,FALSE
39338,pel_lb,FALSE
39339,art_fish,TRUE
39339,dem_dest,NA
39339,dem_nondest_hb,NA
39339,dem_nondest_lb,NA
39339,pel_hb,TRUE
39339,pel_lb,TRUE
39341,art_fish,TRUE
39341,dem_dest,NA
39341,dem_nondest_hb,NA
39341,dem_nondest_lb,NA
39341,pel_hb,TRUE
39341,pel_lb,TRUE
39342,art_fish,TRUE
39342,dem_dest,NA
39342,dem_nondest_hb,NA
39342,dem_nondest_lb,NA
39342,pel_hb,TRUE
39342,pel_lb,TRUE
39345,art_fish,TRUE
39345,dem_dest,NA
39345,dem_nondest_hb,NA
39345,dem_nondest_lb,NA
39345,pel_hb,NA
39345,pel_lb,NA
39346,art_fish,TRUE
39346,dem_dest,NA
