eez,stressor,n_spp,n_imp,mean_imp_pct,a_wt_mean_imp_pct,med_imp_pct,sd_imp_pct
197,cumulative,72,67,0.9137548194042404,0.9058852193767774,1,0.25374404868264755
197,fishing,72,67,0.9086657474622181,0.9001108456101401,1,0.25286124169200913
197,land-based,72,14,0.02149419059923099,0.01584967363661263,0,0.05909906928434302
197,ocean,72,5,0.05617062607482237,0.05523213536636507,0,0.20759937674073242
198,climate,77,2,0.014975279431566178,0.028218635020801297,0,0.09230583072544124
198,cumulative,77,70,0.42855510712111533,0.31924047334198574,0.3421198551472221,0.31907910194039935
198,fishing,77,70,0.3769108153463835,0.23106622074383493,0.20761854650861367,0.2976481508169135
198,land-based,77,12,0.004473306865585906,0.002315221465304892,0,0.014670591248391786
198,ocean,77,5,0.05840611670716277,0.07521483134659177,0,0.2244618849075445
199,climate,71,2,0.017518816633428528,0.031347773369260284,0,0.10363214058178005
199,cumulative,71,64,0.6451931266323654,0.5349069752617447,0.6510957329802912,0.32982236844438007
199,fishing,71,64,0.6029141141515622,0.4595155468699995,0.5471496359396003,0.3368572728261421
199,land-based,71,8,0.011621461282711042,0.005766744212414019,0,0.051999218412331565
199,ocean,71,5,0.06734734410723571,0.07525073529100741,0,0.24661077609994694
200,climate,89,4,0.03296607069818794,0.03926663510948238,0,0.15679297719546037
200,cumulative,89,76,0.5771598752019825,0.47250633426522565,0.5679207896503365,0.3498632910438276
200,fishing,89,75,0.5348976387474424,0.3913316284584308,0.5367340567790313,0.35174848621884836
200,land-based,89,17,0.026508076338172322,0.0037552657526235744,0,0.11705133052008981
200,ocean,89,6,0.06298842290052652,0.07429523543967102,0,0.23577328686662374
202,climate,212,131,0.6179244435759507,0.2745231248573777,1,0.48704483219186046
202,cumulative,212,194,0.7927560928890898,0.4871884130882892,1,0.3588640842913868
202,fishing,212,193,0.7742575400742633,0.4379243417838903,0.9914785731868092,0.3686552256933013
202,land-based,212,143,0.20215901600483527,0.08529946622070245,0.30406000211714124,0.1555341980385691
202,ocean,212,136,0.11004509547889732,0.0798079785060212,0.16423113450647744,0.09486980613209993
203,climate,284,151,0.5268908108070446,0.14244676027230657,0.9690854838690259,0.49545765953956267
203,cumulative,284,253,0.8013347363499767,0.5469609261893464,1,0.353307979276505
203,fishing,284,241,0.6916196848720951,0.4674015557803763,0.8401761950726141,0.349024249038237
203,land-based,284,179,0.0842046173058797,0.019467960472722957,0.08279721855341646,0.1377912184817023
203,ocean,284,150,0.4471738900657707,0.15613472811110324,0.46190532425590636,0.4409765507744242
204,climate,97,10,0.07365444543621989,0.06463162220667326,0,0.229967207627537
204,cumulative,97,79,0.688089439072315,0.6863878381203672,0.8296734234463301,0.3745637938115649
204,fishing,97,71,0.6143594681060885,0.6424764378602592,0.8296734234463301,0.4109798224220628
204,land-based,97,24,0.063901160704911,0.02674728363566426,0,0.1740229565607051
204,ocean,97,9,0.02220830304219028,0.024371687268083773,0,0.07061179933122694
205,climate,280,173,0.6155935965847603,0.5481787348968178,1,0.4852175052656006
205,cumulative,280,256,0.8538787584134045,0.7944339524487267,1,0.3061824134651865
205,fishing,280,247,0.7087528768194717,0.6753012971501493,0.8172126938809315,0.2962958192811318
205,land-based,280,190,0.07550295770672195,0.05475455509509146,0.08812981439273034,0.10473082993766772
205,ocean,280,171,0.10589672632412529,0.09214832101399602,0.09757069072321348,0.14825283533980085
206,climate,465,336,0.720869968652004,0.7404644487895493,1,0.44744620221964876
206,cumulative,465,438,0.9282810335439715,0.9290758148280003,1,0.24257137836362633
206,fishing,465,424,0.751689012511708,0.7417071591923975,0.83949709478566,0.2616907272691164
206,land-based,465,355,0.07019709497383038,0.05161020154058142,0.05651681406415765,0.10667852232777936
206,ocean,465,331,0.6435563460068643,0.6774484962340865,0.8773573826294117,0.41061934789493304
207,climate,340,214,0.6291393958516718,0.5995727786056146,1,0.48347193098321073
207,cumulative,340,315,0.8866691633118062,0.8733338856194295,1,0.2728694906067948
207,fishing,340,305,0.688522400362931,0.6828754645799808,0.6985507365602859,0.26024292523404935
207,land-based,340,235,0.04489358257538162,0.024960524232692738,0.03562834722347881,0.1261316532696776
207,ocean,340,217,0.6135249888121613,0.5898979546728058,0.9617925858102376,0.463652787831712
208,climate,408,305,0.7472263415100641,0.7540240907183826,1,0.43478849404088704
208,cumulative,408,386,0.9452545724095045,0.9445921015485539,1,0.22655515050439096
208,fishing,408,380,0.9313725490196079,0.9339746863701939,1,0.2531299467805477
208,land-based,408,322,0.5356270621599375,0.538211922060336,0.6638655430778194,0.28378870899182346
208,ocean,408,308,0.7549019607843137,0.761941986436053,1,0.4306734229602555
209,climate,198,51,0.25482228612193886,0.12480473754024543,0,0.43400940031151497
209,cumulative,198,166,0.7937450660093185,0.7510287025716376,0.9993326596776109,0.38585929474447106
209,fishing,198,154,0.7319558023591006,0.7136171099952384,0.972717390795631,0.3999596108058574
209,land-based,198,67,0.05795934965044636,0.02238107291020961,0,0.1536712761599959
209,ocean,198,54,0.27094338838243087,0.16635704869321924,0,0.4436724745728198
210,climate,402,254,0.6251884721470824,0.18405717687089687,1,0.4809355627942073
210,cumulative,402,361,0.7972311387529567,0.5855526894638674,1,0.34586535026515697
210,fishing,402,348,0.45063979728120823,0.3988303016922058,0.4878343925943177,0.26018183362190844
210,land-based,402,277,0.13166633037012185,0.028187583090896248,0.1486095573338857,0.11700075856211262
210,ocean,402,250,0.6146079468935995,0.1800682988601825,0.9712206217683674,0.4799953148541056
212,climate,232,179,0.7485730341302123,0.08911220715617647,1,0.4285649230165474
212,cumulative,232,212,0.7719285599140461,0.17424164973775105,1,0.39311926048091295
212,fishing,232,30,0.019595701338440494,0.07271232104101293,0,0.06756648706440886
212,land-based,232,183,0.2177099941961769,0.018938340059821257,0.29156954281776826,0.12700940808722444
212,ocean,232,175,0.04902535778448821,0.01734615736441585,0.06347125101739529,0.03297329272790592
213,climate,44,12,0.14375787208649488,0.11840820241783977,0,0.2711431325881369
213,cumulative,44,22,0.1509824514074329,0.13880968174207928,0.0010990255105311358,0.26917597307037516
213,fishing,44,13,0.0023034266264888373,0.004234986170508302,0,0.004378982766033113
213,land-based,44,0,0,0,0,0
213,ocean,44,3,0.00557802860032005,0.017386438878099323,0,0.02089902435636042
214,climate,239,133,0.5564832837022722,0.3005436119766611,1,0.4978399082028265
214,cumulative,239,213,0.7395127306599528,0.5829093391179884,1,0.3657213450863653
214,fishing,239,212,0.31711490614335447,0.3297720995785483,0.2676756268450193,0.20984848488100946
214,land-based,239,147,0.02999042390486778,0.017982902988643423,0.04818914250627759,0.025083559534128528
214,ocean,239,136,0.5170869469567607,0.28160567838588324,0.9107747910064067,0.4514744687921502
215,climate,186,130,0.6989247311827957,0.6988884839666066,1,0.4599634823709293
215,cumulative,186,168,0.9032258064516129,0.9032434402324617,1,0.2964480221167173
215,fishing,186,35,0.18288530465562744,0.18294460640745386,0,0.3875015559249194
215,land-based,186,140,0.7526881720430108,0.7527332361496242,1,0.4326140275491725
215,ocean,186,131,0.7043010752688172,0.7041727405304181,1,0.4575880310508566
216,climate,523,356,0.6514368029502734,0.6320589013800723,0.9186704940232964,0.4507509298882016
216,cumulative,523,485,0.8616363747423067,0.8422538809369664,0.9884651388874748,0.29109475378406535
216,fishing,523,465,0.7202032354102648,0.7074865568173956,0.8103030591691972,0.2860833185793369
216,land-based,523,384,0.10139569868504704,0.07673920316325496,0.09898549851128643,0.1207500402475627
216,ocean,523,351,0.4431638140597441,0.45468198171082064,0.6708233844077214,0.3209151701684027
218,climate,87,20,0.1209188824150172,0.27542323071397523,0,0.2882168431770107
218,cumulative,87,76,0.4389895214521144,0.552203654669816,0.36983300431818916,0.3266837516453356
218,fishing,87,65,0.30200277193889147,0.23199142677083065,0.2792003703229756,0.28418325630356844
218,land-based,87,24,0.010285441273896979,0.004925682217357217,0,0.05212313418928847
218,ocean,87,5,0.03990480003336255,0.11828188739341819,0,0.177290932148586
219,climate,41,7,0.17073170731707318,0.21965821755437356,0,0.3809487514345101
219,cumulative,41,34,0.5362692838687804,0.5902346454413279,0.786626225516533,0.4388107650143927
219,fishing,41,28,0.39396457894919185,0.40869448273145603,0.16666666666666663,0.38931169107079294
219,land-based,41,8,0.006590629583706833,0.006719097944497597,0,0.01647797190967597
