iucn_sid,sens,stressor,code,score_num,category
22104,TRUE,nutrient,2.4.3,3,land-based
22104,FALSE,direct_human,6.1,1,land-based
22104,TRUE,direct_human,6.3,3,land-based
22104,TRUE,nutrient,9.1.1,3,land-based
22104,TRUE,organic,9.2.1,3,land-based
22104,FALSE,nutrient,9.3.1,1,land-based
22104,TRUE,organic,9.3.3,3,land-based
22563,TRUE,direct_human,1.1,3,land-based
22563,TRUE,direct_human,1.2,3,land-based
22563,TRUE,direct_human,1.3,3,land-based
22563,TRUE,direct_human,6.1,3,land-based
22823,TRUE,direct_human,1.2,6,land-based
22823,TRUE,direct_human,1.3,5,land-based
22823,FALSE,direct_human,6.1,NA,land-based
22823,FALSE,organic,9.2.1,NA,land-based
22823,TRUE,organic,9.3.3,7,land-based
31382,TRUE,direct_human,1.1,3,land-based
31382,TRUE,nutrient,2.4.3,3,land-based
33705,TRUE,direct_human,1.1,3,land-based
33705,TRUE,nutrient,2.4.3,3,land-based
34364,TRUE,direct_human,1.1,3,land-based
34364,TRUE,nutrient,2.4.3,3,land-based
39332,FALSE,direct_human,1.1,NA,land-based
39332,FALSE,direct_human,1.2,NA,land-based
39332,FALSE,direct_human,1.3,NA,land-based
39332,FALSE,direct_human,6.1,NA,land-based
39345,TRUE,direct_human,1.1,3,land-based
39346,TRUE,direct_human,1.1,3,land-based
39371,TRUE,direct_human,1.1,5,land-based
39371,FALSE,organic,9.2.1,NA,land-based
39379,TRUE,direct_human,1.1,3,land-based
39379,TRUE,organic,9.2.2,3,land-based
39387,TRUE,direct_human,6.1,3,land-based
39389,FALSE,direct_human,1.1,NA,land-based
39389,FALSE,direct_human,1.2,NA,land-based
39389,FALSE,nutrient,9.1.1,NA,land-based
39389,FALSE,nutrient,9.1.2,NA,land-based
39389,FALSE,organic,9.1.2,NA,land-based
39389,FALSE,organic,9.2.1,NA,land-based
39389,FALSE,organic,9.2.2,NA,land-based
39389,FALSE,nutrient,9.3.1,NA,land-based
39389,FALSE,organic,9.3.3,NA,land-based
39390,FALSE,direct_human,1.2,NA,land-based
39390,FALSE,organic,9.2.1,NA,land-based
39390,FALSE,organic,9.2.2,NA,land-based
39393,FALSE,nutrient,9.3.1,NA,land-based
39427,FALSE,direct_human,6.3,NA,land-based
40773,FALSE,direct_human,1.1,NA,land-based
40773,FALSE,direct_human,1.2,NA,land-based
40773,FALSE,direct_human,1.3,NA,land-based
40802,FALSE,direct_human,1.1,NA,land-based
40802,FALSE,direct_human,1.2,NA,land-based
40802,FALSE,direct_human,1.3,NA,land-based
40802,FALSE,nutrient,9.1.1,NA,land-based
40802,FALSE,nutrient,9.1.2,NA,land-based
40802,FALSE,organic,9.1.2,NA,land-based
40802,FALSE,nutrient,9.3.1,NA,land-based
41005,FALSE,direct_human,1.1,NA,land-based
41005,FALSE,direct_human,1.2,NA,land-based
41005,FALSE,direct_human,1.3,NA,land-based
41005,FALSE,nutrient,9.1.1,NA,land-based
41005,FALSE,nutrient,9.1.2,NA,land-based
41005,FALSE,organic,9.1.2,NA,land-based
