iucn_sid,cat_score,sens,code,stressor
161621,0.4,1,5.4.2,pel_lb
161621,0.4,1,5.4.3,art_fish
161621,0.4,1,5.4.4,dem_nondest_hb
161621,0.4,1,5.4.4,dem_nondest_lb
161621,0.4,1,5.4.4,pel_hb
161621,0.4,1,5.4.4,pel_lb
161621,0.4,1,9.3.1,nutrient
61407,0,1,5.4.1,art_fish
61407,0,1,5.4.2,dem_nondest_hb
61407,0,1,5.4.2,dem_nondest_lb
61407,0,1,5.4.2,pel_hb
61407,0,1,5.4.2,pel_lb
61407,0,1,5.4.3,art_fish
61407,0,1,5.4.4,dem_nondest_hb
61407,0,1,5.4.4,dem_nondest_lb
61407,0,1,5.4.4,pel_hb
61407,0,1,5.4.4,pel_lb
42723,0,1,5.4.4,dem_nondest_hb
42723,0,1,5.4.4,dem_nondest_lb
42723,0,1,5.4.4,pel_hb
42723,0,1,5.4.4,pel_lb
60081,0,1,5.4.4,dem_nondest_hb
60081,0,1,5.4.4,dem_nondest_lb
60081,0,1,5.4.4,pel_hb
60081,0,1,5.4.4,pel_lb
61417,0.8,0,1.1,direct_human
61417,0.8,0,1.2,direct_human
61417,0.8,0,1.3,direct_human
61417,0.8,2,5.4.1,art_fish
61417,0.8,2,5.4.3,art_fish
61417,0.8,2,5.4.4,dem_nondest_hb
61417,0.8,2,5.4.4,dem_nondest_lb
61417,0.8,2,5.4.4,pel_hb
61417,0.8,2,5.4.4,pel_lb
61418,0.8,0,1.1,direct_human
61418,0.8,0,1.2,direct_human
61418,0.8,0,1.3,direct_human
61418,0.8,2,5.4.1,art_fish
61418,0.8,2,5.4.3,art_fish
61418,0.8,2,5.4.4,dem_nondest_hb
61418,0.8,2,5.4.4,dem_nondest_lb
61418,0.8,2,5.4.4,pel_hb
61418,0.8,2,5.4.4,pel_lb
61418,0.8,0,6.1,direct_human
39332,0.8,0,1.1,direct_human
39332,0.8,0,1.2,direct_human
39332,0.8,0,1.3,direct_human
39332,0.8,0,5.4.1,art_fish
39332,0.8,0,5.4.3,art_fish
39332,0.8,0,5.4.4,dem_nondest_hb
39332,0.8,0,5.4.4,dem_nondest_lb
39332,0.8,0,5.4.4,pel_hb
39332,0.8,0,5.4.4,pel_lb
39332,0.8,0,6.1,direct_human
161404,0.4,0,5.4.1,art_fish
161404,0.4,0,5.4.3,art_fish
161404,0.4,2,5.4.4,dem_nondest_hb
161404,0.4,2,5.4.4,dem_nondest_lb
161404,0.4,2,5.4.4,pel_hb
161404,0.4,2,5.4.4,pel_lb
70680908,0.4,2,5.4.1,art_fish
70680908,0.4,2,5.4.2,dem_nondest_hb
70680908,0.4,2,5.4.2,dem_nondest_lb
70680908,0.4,2,5.4.2,pel_hb
70680908,0.4,2,5.4.2,pel_lb
70680908,0.4,2,5.4.3,art_fish
70680908,0.4,2,5.4.4,dem_nondest_hb
70680908,0.4,2,5.4.4,dem_nondest_lb
70680908,0.4,2,5.4.4,pel_hb
70680908,0.4,2,5.4.4,pel_lb
70680197,0.6,3,5.4.1,art_fish
70680197,0.6,3,5.4.3,art_fish
70680197,0.6,3,5.4.4,dem_nondest_hb
70680197,0.6,3,5.4.4,dem_nondest_lb
70680197,0.6,3,5.4.4,pel_hb
70680197,0.6,3,5.4.4,pel_lb
41739,0,1,5.4.1,art_fish
41739,0,1,5.4.2,dem_nondest_hb
41739,0,1,5.4.2,dem_nondest_lb
41739,0,1,5.4.2,pel_hb
41739,0,1,5.4.2,pel_lb
41739,0,1,5.4.3,art_fish
41739,0,1,5.4.4,dem_nondest_hb
41739,0,1,5.4.4,dem_nondest_lb
41739,0,1,5.4.4,pel_hb
41739,0,1,5.4.4,pel_lb
39347,NA,1,5.4.2,dem_nondest_hb
39347,NA,1,5.4.2,dem_nondest_lb
39347,NA,1,5.4.2,pel_hb
39347,NA,1,5.4.2,pel_lb
39347,NA,1,5.4.3,art_fish
39347,NA,1,5.4.4,dem_nondest_hb
39347,NA,1,5.4.4,dem_nondest_lb
39347,NA,1,5.4.4,pel_hb
39347,NA,1,5.4.4,pel_lb
91209505,0.4,1,5.4.1,art_fish
91209505,0.4,1,5.4.2,dem_nondest_hb
91209505,0.4,1,5.4.2,dem_nondest_lb
91209505,0.4,1,5.4.2,pel_hb
91209505,0.4,1,5.4.2,pel_lb
91209505,0.4,1,5.4.3,art_fish
91209505,0.4,1,5.4.4,dem_nondest_hb
91209505,0.4,1,5.4.4,dem_nondest_lb
91209505,0.4,1,5.4.4,pel_hb
91209505,0.4,1,5.4.4,pel_lb
61416,NA,1,5.4.3,art_fish
61416,NA,1,5.4.4,dem_nondest_hb
61416,NA,1,5.4.4,dem_nondest_lb
61416,NA,1,5.4.4,pel_hb
61416,NA,1,5.4.4,pel_lb
60160,0.2,1,5.4.4,dem_nondest_hb
60160,0.2,1,5.4.4,dem_nondest_lb
60160,0.2,1,5.4.4,pel_hb
60160,0.2,1,5.4.4,pel_lb
60237,NA,1,5.4.4,dem_nondest_hb
60237,NA,1,5.4.4,dem_nondest_lb
60237,NA,1,5.4.4,pel_hb
60237,NA,1,5.4.4,pel_lb
60210,0,0,5.4.4,dem_nondest_hb
60210,0,0,5.4.4,dem_nondest_lb
60210,0,0,5.4.4,pel_hb
60210,0,0,5.4.4,pel_lb
161510,0.4,1,5.4.2,dem_nondest_hb
161510,0.4,1,5.4.2,dem_nondest_lb
161510,0.4,1,5.4.2,pel_hb
161510,0.4,1,5.4.2,pel_lb
161510,0.4,1,5.4.3,art_fish
161510,0.4,1,5.4.4,dem_nondest_hb
161510,0.4,1,5.4.4,dem_nondest_lb
161510,0.4,1,5.4.4,pel_hb
161510,0.4,1,5.4.4,pel_lb
161406,NA,0,5.4.4,dem_nondest_hb
161406,NA,0,5.4.4,dem_nondest_lb
161406,NA,0,5.4.4,pel_hb
161406,NA,0,5.4.4,pel_lb
161664,0,0,5.4.1,art_fish
161664,0,0,5.4.3,art_fish
161664,0,0,5.4.4,dem_nondest_hb
161664,0,0,5.4.4,dem_nondest_lb
161664,0,0,5.4.4,pel_hb
161664,0,0,5.4.4,pel_lb
60200,0.2,1,5.4.1,art_fish
60200,0.2,1,5.4.2,dem_nondest_hb
60200,0.2,1,5.4.2,dem_nondest_lb
60200,0.2,1,5.4.2,pel_hb
60200,0.2,1,5.4.2,pel_lb
60200,0.2,1,5.4.3,art_fish
60200,0.2,1,5.4.4,dem_nondest_hb
60200,0.2,1,5.4.4,dem_nondest_lb
60200,0.2,1,5.4.4,pel_hb
60200,0.2,1,5.4.4,pel_lb
161465,0.6,1,1.1,direct_human
161465,0.6,1,2.4.2,nutrient
161465,0.6,1,5.4.3,art_fish
161465,0.6,1,5.4.4,dem_nondest_hb
161465,0.6,1,5.4.4,dem_nondest_lb
161465,0.6,1,5.4.4,pel_hb
161465,0.6,1,5.4.4,pel_lb
41808,0,0,5.4.4,dem_nondest_hb
41808,0,0,5.4.4,dem_nondest_lb
41808,0,0,5.4.4,pel_hb
41808,0,0,5.4.4,pel_lb
60195,0.4,1,5.4.4,dem_nondest_hb
60195,0.4,1,5.4.4,dem_nondest_lb
60195,0.4,1,5.4.4,pel_hb
60195,0.4,1,5.4.4,pel_lb
161600,0,1,5.4.4,dem_nondest_hb
161600,0,1,5.4.4,dem_nondest_lb
161600,0,1,5.4.4,pel_hb
161600,0,1,5.4.4,pel_lb
161585,NA,0,5.4.4,dem_nondest_hb
161585,NA,0,5.4.4,dem_nondest_lb
161585,NA,0,5.4.4,pel_hb
161585,NA,0,5.4.4,pel_lb
39388,0.4,1,5.4.1,art_fish
39388,0.4,1,5.4.2,dem_nondest_hb
39388,0.4,1,5.4.2,dem_nondest_lb
39388,0.4,1,5.4.2,pel_hb
39388,0.4,1,5.4.2,pel_lb
39388,0.4,1,5.4.3,art_fish
39388,0.4,1,5.4.4,dem_nondest_hb
39388,0.4,1,5.4.4,dem_nondest_lb
39388,0.4,1,5.4.4,pel_hb
39388,0.4,1,5.4.4,pel_lb
161696,0.4,1,5.4.3,art_fish
161696,0.4,1,5.4.4,dem_nondest_hb
161696,0.4,1,5.4.4,dem_nondest_lb
161696,0.4,1,5.4.4,pel_hb
161696,0.4,1,5.4.4,pel_lb
44216,NA,0,5.4.4,dem_nondest_hb
