iucn_sid,stressor,pct_imp,pct_incr3,pct_decr3,pct_incr2,pct_decr2,pct_incr1,pct_decr1,range_km2,assess_gp,rank,desc
133031,shipping,0.707533789932481,0.10139822097935174,0.008453829736708012,0.4126771583250782,0.03706328763131655,1.955469099707184e-4,0.0013940289637872467,3603807.2575391536,reef_building_corals,Cnidaria,reef-building corals
133031,sst,0.906326487733386,0.8226852346395797,0.0026368543671163496,0.023802687125403576,6.038449772613218e-4,0,0,3603807.2575391536,reef_building_corals,Cnidaria,reef-building corals
133031,cumulative,0.9925839985451536,0.7847060023247749,3.9739396712878706e-4,0.1084611718347134,0.00328407343980466,0.0012052668304496407,6.525499753472758e-4,3603807.2575391536,reef_building_corals,Cnidaria,reef-building corals
133038,art_fish,0.4200539739885173,0.00141748771751924,0.004037947966853438,0.17467250639673276,0.04832958123504756,0.06012305858722998,0.011268567132850526,6830820.778525818,reef_building_corals,Cnidaria,reef-building corals
133038,direct_human,0.08596613021648623,0,0,0.008615124217597945,0.0012844064888673646,0.06575018319209604,0.009387532320087833,6830820.778525818,reef_building_corals,Cnidaria,reef-building corals
133038,oa,0.7025436285494966,0.025966053418926674,0,0.5585783703023393,0,0,0,6830820.778525818,reef_building_corals,Cnidaria,reef-building corals
133038,shipping,0.7008447653733698,0.08520318219051533,0.008981001729872989,0.4144467924033699,0.024359746312095833,1.8639043127114682e-4,3.215171001168844e-4,6830820.778525818,reef_building_corals,Cnidaria,reef-building corals
133038,sst,0.848182693307486,0.7358170049921523,0.005111290939884673,0.043405959129105234,0.001017349139348728,0,0,6830820.778525818,reef_building_corals,Cnidaria,reef-building corals
133038,cumulative,0.9692696128655109,0.6675869853769398,0.002430362464482641,0.14954495422200723,0.007316527513864537,0.0045160688285201915,4.3018093261247635e-4,6830820.778525818,reef_building_corals,Cnidaria,reef-building corals
133046,art_fish,0.643297490001465,0.0011316098555958867,0.0014767208605012418,0.2818022793942351,0.038832416317694525,0.1042166679913889,0.01638877326408911,3056659.7608216023,reef_building_corals,Cnidaria,reef-building corals
133046,direct_human,0.1201489120663289,0,0,0.012252297859206373,0.0022143670806220195,0.0950429432477695,0.009968794328735969,3056659.7608216023,reef_building_corals,Cnidaria,reef-building corals
133046,oa,0.9713892117884697,0.05802721634371252,0,0.8590190105462002,0,0,0,3056659.7608216023,reef_building_corals,Cnidaria,reef-building corals
133046,shipping,0.7682885264933811,0.1405570285981062,0.0013801583464897493,0.4110754921603863,0.022821322483269006,1.6512761881992726e-4,6.913647682710769e-4,3056659.7608216023,reef_building_corals,Cnidaria,reef-building corals
133046,sst,0.9601548199964485,0.9051101855387619,2.765459073084308e-4,0.024793711903495518,1.0227627643712704e-4,0,0,3056659.7608216023,reef_building_corals,Cnidaria,reef-building corals
133046,cumulative,1,0.8323220456882306,0,0.07141598075692428,0,2.3254996825867726e-4,1.5855679579071405e-4,3056659.7608216023,reef_building_corals,Cnidaria,reef-building corals
133067,art_fish,0.6359559448520834,0.0010841991718917572,0.0046803972744103774,0.2779904214998664,0.04744783693592964,0.0984820695563214,0.015841741485254468,3385238.701914369,reef_building_corals,Cnidaria,reef-building corals
133067,direct_human,0.12173469812919827,0,0,0.013632327755204418,0.0019333982405945226,0.09760888044065731,0.007971172656530431,3385238.701914369,reef_building_corals,Cnidaria,reef-building corals
133067,oa,0.955968048228616,0.052394963205995605,0,0.8191376244216523,0,0,0,3385238.701914369,reef_building_corals,Cnidaria,reef-building corals
133067,shipping,0.7527695703793902,0.12978841736036895,0.0018291830423223278,0.40963355975926474,0.02078061307890029,1.4909995787342687e-4,6.242593368759756e-4,3385238.701914369,reef_building_corals,Cnidaria,reef-building corals
133067,sst,0.9502416296441949,0.8813445514311272,5.205600594010637e-4,0.023322535204377246,1.5064770817248556e-4,0,0,3385238.701914369,reef_building_corals,Cnidaria,reef-building corals
133067,cumulative,0.9996976727513627,0.8055648850447329,3.121296684379878e-5,0.08943030917595099,2.651812396008521e-4,7.529805855799725e-4,0,3385238.701914369,reef_building_corals,Cnidaria,reef-building corals
133101,art_fish,0.5833863642690972,0.0024381759237359,0.003989742419649534,0.25006343919596863,0.040937519096289864,0.08591337701927373,0.018671352444115677,3971249.3507438824,reef_building_corals,Cnidaria,reef-building corals
133101,direct_human,0.11529023053813185,0,0,0.013139938721643468,0.001782234480016853,0.09216362171376712,0.007396328070535739,3971249.3507438824,reef_building_corals,Cnidaria,reef-building corals
133101,oa,0.9554120336915782,0.04466338967032916,0,0.8139483541253058,0,0,0,3971249.3507438824,reef_building_corals,Cnidaria,reef-building corals
133101,shipping,0.7242941537616832,0.12236133644179631,0.001788611380515715,0.4022510907718975,0.020960220873231076,1.537053549895914e-4,5.321415707195776e-4,3971249.3507438824,reef_building_corals,Cnidaria,reef-building corals
133101,sst,0.9574137216032478,0.9007802250887231,0,0.021167580185226048,2.3088786910294043e-5,0,0,3971249.3507438824,reef_building_corals,Cnidaria,reef-building corals
133101,cumulative,0.9993777022133107,0.8265930933140896,2.6607078535978886e-5,0.07258982747665825,0.0023739671075142976,6.653968602934619e-4,0,3971249.3507438824,reef_building_corals,Cnidaria,reef-building corals
133102,art_fish,0.3144791041526087,0,0.0025579073436538995,0.0035477025217136742,0.10437541335171878,0.019674880392715307,0.020508210100389192,1010180.8590122481,reef_building_corals,Cnidaria,reef-building corals
133102,direct_human,0.10099714309582995,0,0,0.005867886118529568,3.9764695639668435e-5,0.07209858191777083,0.019044696419813573,1010180.8590122481,reef_building_corals,Cnidaria,reef-building corals
133102,oa,0.936484541472192,0,0,0.5907918793584284,0,0,0,1010180.8590122481,reef_building_corals,Cnidaria,reef-building corals
133102,shipping,0.8635292897200093,0.1318830744862571,5.091610070445053e-4,0.37465259916434407,0.07885771584537071,0,0,1010180.8590122481,reef_building_corals,Cnidaria,reef-building corals
133102,sst,0.9051975052085106,0.6604855615554329,0.0019761325390148547,0.05500667787438551,0.003379999216655559,0,0,1010180.8590122481,reef_building_corals,Cnidaria,reef-building corals
133102,cumulative,0.998849417144857,0.5485107688742235,2.091968827532823e-4,0.1972398113476387,0.005285246861952307,0.008126693799182317,0.0049835538400192034,1010180.8590122481,reef_building_corals,Cnidaria,reef-building corals
133114,art_fish,0.04641359854781641,0,0.0027407177809806345,0,0.03681098668295048,3.21593145880081e-4,0.0045666226714971515,1642810.873223624,reef_building_corals,Cnidaria,reef-building corals
133114,direct_human,0.008123814969306774,0,0,3.561444792463231e-5,0,0.007799564026488073,2.8863649489406913e-4,1642810.873223624,reef_building_corals,Cnidaria,reef-building corals
133114,oa,0.3051918954130615,0,0,0.25368862023620536,0,0,0,1642810.873223624,reef_building_corals,Cnidaria,reef-building corals
133114,shipping,0.8279657399658636,0.05130553529010856,0.019209476214801242,0.5535330329254581,0.03386402403166554,0,0,1642810.873223624,reef_building_corals,Cnidaria,reef-building corals
133114,sst,0.6625297207962234,0.5620613642225138,1.6478326451428207e-5,0.07904865837571606,0,0,0,1642810.873223624,reef_building_corals,Cnidaria,reef-building corals
133114,cumulative,0.9067826386490339,0.49708466510683263,0.0013671695391477684,0.2573728551131615,0.01371368854017057,2.6259010483078814e-4,0,1642810.873223624,reef_building_corals,Cnidaria,reef-building corals
133131,art_fish,0.6128521602303187,0.007616656097551758,0.004308814520565175,0.25653974932377605,0.047543959093703195,0.09354383131904212,0.021042517485503908,3677174.2942395876,reef_building_corals,Cnidaria,reef-building corals
133131,direct_human,0.12491786212592039,0,0,0.013777092468307186,0.001991259362892782,0.09478560780023505,0.01352465257502629,3677174.2942395876,reef_building_corals,Cnidaria,reef-building corals
133131,oa,0.9602781161079782,0.04823525975044769,0,0.812125570224027,0,0,0,3677174.2942395876,reef_building_corals,Cnidaria,reef-building corals
133131,shipping,0.7350663265986751,0.11991299728350621,0.004922697110752737,0.39549236825353234,0.03237239136715824,1.62910425790572e-4,0.0013662152769821653,3677174.2942395876,reef_building_corals,Cnidaria,reef-building corals
