iucn_sid,sciname,comname,pub_year,old_cat,depth_upper,depth_lower,elev_upper,elev_lower,aoo_km2,eoo_km2,criteria,cat,cat_score,iucn_version
79800594,Meuschenia australis,Brownstriped Leatherjacket,2019,LC,0,30,NA,NA,NA,NA,NA,LC,0,2020-1
79800615,Meuschenia flavolineata,Yellowstriped Leatherjacket,2019,LC,0,50,NA,NA,NA,NA,NA,LC,0,2020-1
79800624,Meuschenia freycineti,Sixspine Leatherjacket,2019,LC,0,50,NA,NA,NA,NA,NA,LC,0,2020-1
79800643,Meuschenia galii,Bluelined Leatherjacket,2019,LC,1,30,NA,NA,NA,NA,NA,LC,0,2020-1
79800670,Meuschenia scaber,Velvet Leatherjacket,2019,LC,1,125,NA,NA,NA,NA,NA,LC,0,2020-1
79800687,Meuschenia trachylepis,Yellowfin Leatherjacket,2019,LC,0,40,NA,NA,NA,NA,NA,LC,0,2020-1
79800718,Meuschenia venusta,Stars-and-Stripes Leatherjacket,2019,LC,0,100,NA,NA,NA,NA,NA,LC,0,2020-1
79800785,Pseudomonacanthus tweediei,Tweedie's Leatherjacket,2019,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
79800801,Rudarius ercodes,Whitespotted Pygmy Filefish,2019,LC,0,25,NA,NA,NA,NA,NA,LC,0,2020-1
79800812,Thamnaconus analis,Darkvent Leatherjacket,2019,DD,10,91,NA,NA,NA,NA,NA,DD,NA,2020-1
79800854,Thamnaconus arenaceus,Sandy Filefish,2019,DD,201,4000,NA,NA,NA,NA,NA,DD,NA,2020-1
79800879,Thamnaconus degeni,Bluefin Leatherjacket,2019,LC,0,100,NA,NA,NA,NA,NA,LC,0,2020-1
79800922,Thamnaconus fajardoi,Spotted Filefish,2019,DD,100,205,NA,NA,NA,NA,NA,DD,NA,2020-1
79800964,Thamnaconus garretti,Garrett's Leatherjacket,2019,DD,58,100,NA,NA,NA,NA,NA,DD,NA,2020-1
79800999,Thamnaconus paschalis,Easter Filefish,2019,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
79801034,Thamnaconus septentrionalis,NA,2019,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
79801064,Brachaluteres fahaqa,NA,2019,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
79801074,Brachaluteres ulvarum,Japanese Inflator Filefish,2019,LC,0,50,NA,NA,NA,NA,NA,LC,0,2020-1
79801089,Cantherhines multilineatus,NA,2019,DD,0,50,NA,NA,NA,NA,NA,DD,NA,2020-1
79801109,Cantherhines rapanui,Rapanui Filefish,2019,DD,0,20,NA,NA,NA,NA,NA,DD,NA,2020-1
79801139,Cantheschenia grandisquamis,Largescale Leatherjacket,2019,DD,0,46,NA,NA,NA,NA,NA,DD,NA,2020-1
79801152,Chaetodermis penicilligerus,Leafy Filefish,2019,LC,0,45,NA,NA,NA,NA,NA,LC,0,2020-1
79801482,Colurodontis paxmani,Paxman's Leatherjacket,2019,DD,0,50,NA,NA,NA,NA,NA,DD,NA,2020-1
79802334,Eubalichthys mosaicus,Mosaic Leatherjacket,2019,LC,0,60,NA,NA,NA,NA,NA,LC,0,2020-1
79802460,Nelusetta ayraud,Ocean Leatherjacket,2019,LC,0,350,NA,NA,NA,NA,NA,LC,0,2020-1
79802677,Oxymonacanthus halli,Red Sea Harlequin Filefish,2019,VU,0,11,NA,NA,NA,NA,A3c,VU,0.4,2020-1
79802705,Paraluteres arqat,Red Sea Mimic Filefish,2019,DD,0,50,NA,NA,NA,NA,NA,DD,NA,2020-1
79802886,Paramonacanthus frenatus,Wedgetail Filefish,2019,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
79802913,Paramonacanthus nematophorus,NA,2019,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
79802989,Paramonacanthus otisensis,Dusky Leatherjacket,2019,LC,5,27,NA,NA,NA,NA,NA,LC,0,2020-1
79803001,Paramonacanthus pusillus,Faintstripe Filefish,2019,LC,0,90,NA,NA,NA,NA,NA,LC,0,2020-1
79803027,Paramonacanthus tricuspis,Estuary Filefish,2019,LC,0,50,NA,NA,NA,NA,NA,LC,0,2020-1
79803041,Pervagor randalli,Randall's Filefish,2019,DD,0,12,NA,NA,NA,NA,NA,DD,NA,2020-1
79803091,Pseudomonacanthus elongatus,Elongate Leatherjacket,2019,LC,8,55,NA,NA,NA,NA,NA,LC,0,2020-1
79803102,Pseudomonacanthus macrurus,Strap-weed Filefish,2019,LC,0,50,NA,NA,NA,NA,NA,LC,0,2020-1
79803143,Pseudomonacanthus peroni,Potbelly Leatherjacket,2019,LC,11,114,NA,NA,NA,NA,NA,LC,0,2020-1
79803162,Rudarius excelsus,Diamond Leatherjacket,2019,LC,8,25,NA,NA,NA,NA,NA,LC,0,2020-1
79803203,Scobinichthys granulatus,Rough Leatherjacket,2019,LC,0,45,NA,NA,NA,NA,NA,LC,0,2020-1
79803225,Stephanolepis auratus,Porky,2019,LC,0,18,NA,NA,NA,NA,NA,LC,0,2020-1
79803245,Stephanolepis cirrhifer,Threadsail Filefish,2019,LC,0,100,NA,NA,NA,NA,NA,LC,0,2020-1
79803311,Thamnaconus hypargyreus,Lesser-spotted Leatherjacket,2019,LC,10,235,NA,NA,NA,NA,NA,LC,0,2020-1
