iucn_sid,sciname,old_cat,iucn_rgn,cat_score,cat_current
18126112,Trachonurus sulcatus,LC,europe,0,LC
18127641,Trachipterus arcticus,LC,europe,0,LC
18127741,Ceratias holboelli,LC,europe,0,LC
18127783,Chaunax suttkusi,LC,europe,0,LC
18127809,Bufoceratias wedli,DD,europe,NA,DD
18127828,Himantolophus compressus,DD,europe,NA,DD
18127836,Himantolophus groenlandicus,DD,europe,NA,DD
18127840,Melanocetus johnsonii,LC,europe,0,LC
18128090,Oneirodes carlsbergi,DD,europe,NA,DD
18128749,Oneirodes eschrichtii,LC,europe,0,LC
18128938,Lampanyctus macdonaldi,LC,europe,0,LC
18129278,Protomyctophum arcticum,LC,europe,0,LC
18129312,Neoscopelus microchir,LC,europe,0,LC
18138798,Sciadonus cryptophthalmus,DD,europe,NA,DD
18138812,Melodichthys hadrocephalus,DD,europe,NA,DD
18138815,Echiodon drummondii,LC,europe,0,LC
18138825,Bassozetus taenia,DD,europe,NA,DD
18138837,Brotulotaenia brevicauda,"NA",europe,NA,NA
18138869,Monomitopus metriostoma,LC,europe,0,LC
18139045,Spectrunculus grandis,LC,europe,0,LC
18139074,Alepocephalus productus,LC,europe,0,LC
18139615,Conocara murrayi,LC,europe,0,LC
18140291,Narcetes stomias,LC,europe,0,LC
18140358,Bathylagichthys greyae,LC,europe,0,LC
18140736,Dolicholagus longirostris,LC,europe,0,LC
18140801,Nansenia groenlandica,DD,europe,NA,DD
18140823,Dolichopteryx rostrata,DD,europe,NA,DD
18140829,Opisthoproctus grimaldii,LC,europe,0,LC
18155920,Opisthoproctus soleatus,LC,europe,0,LC
18155933,Barbantus curvifrons,LC,europe,0,LC
18155939,Holtbyrnia anomala,LC,europe,0,LC
18155943,Holtbyrnia macrops,LC,europe,0,LC
18155946,Maulisia mauli,LC,europe,0,LC
18155949,Normichthys operosus,LC,europe,0,LC
18155952,Sagamichthys schnakenbecki,LC,europe,0,LC
18155960,Ammodytes tobianus,DD,europe,NA,DD
18155963,Gymnammodytes semisquamatus,LC,europe,0,LC
18155982,Hyperoplus lanceolatus,LC,europe,0,LC
18156550,Taractes asper,"NA",europe,NA,NA
18158331,Selene dorsalis,"NA",europe,NA,NA
18158359,Seriola carpenteri,LC,europe,0,LC
18158445,Platyberyx opalescens,DD,europe,NA,DD
18158483,Centrodraco acanthopoma,LC,europe,0,LC
18158583,Nesiarchus nasutus,LC,europe,0,LC
18159126,Buenia jeffreysii,LC,europe,0,LC
18159556,Gobius gasteveni,LC,europe,0,LC
18159817,Gobiusculus flavescens,LC,europe,0,LC
18159823,Lebetus scorpioides,LC,europe,0,LC
